UNITID,F1A01,F1A09,F1B01,F1H02   
144175,,,2272652,
144184,,,8302678,
144193,,,4121481,
144209,,,9043587,
144218,,,10803097,
144500,365243276,124718599,0,
144564,23341057,2277169,3444023,7947564
144865,363249836,129639414,62113934,4678010
144892,77240871,25063733,74282421,41053036
144944,179816681,57714325,17816191,3063078
145336,74327840,11593784,31420401,1554037
145521,23132393,9252598,3598706,7741150
145600,751472242,344120524,342330761,222001190
145637,625132152,209671104,676223900,1050492385
145682,110159781,43849120,22409026,13948690
145707,,,1118613,
145813,120848347,44063302,189117793,75723420
145831,37362093,9290299,4726299,
146205,27038536,9674538,5455209,5112393
146278,18022021,8384055,5461906,1196550
146296,98433960,29895516,26920183,10564392
146348,42964469,13989360,6089638,5118549
146366,38419181,5910753,5752597,6663828
146418,37951350,20917918,6348558,1039335
146472,137493044,46108102,24304411,1033008
146506,49630365,31361903,9832864,2
146603,80637570,29263838,13111924,
146685,59509868,26337896,18270891,3534185
147004,66427133,25676097,13237924,3365451
147378,124824699,36396219,31179582,
147411,29679741,9767296,4125936,
147703,119134590,73505496,141229582,62194993
147776,91657399,13530222,54804774,6306915
147800,131637016,22800962,16171910,
147916,77600246,9005938,17795993,5544506
148007,23716980,15451841,5477847,705821
148256,33307670,9223467,2039490,2131394
148292,37965908,17242345,2148932,16356974
148380,72672265,33905657,10726949,5084282
148654,17716813,11882967,25633074,11497622
148672,22484163,7086384,2843268,1955427
148821,20032869,3970020,2966462,883224
148937,10694000,2804933,1546808,3139808
148991,12507939,8498666,3893574,1466393
149222,205201826,91083935,154655717,104545406
149231,48246809,36358504,100008976,18828655
149240,1452406,392579,0,
149365,40172029,17844359,3888606,
149532,59039284,23787656,15232305,
149587,386303867,305743337,0,248628021
149727,137859323,18587091,16709561,3456451
149772,98571023,40574652,81704247,32134249
149842,183351811,70536339,40545395,2991904
150136,222257842,40062238,149699765,171650300
150987,302542807,122345536,146425861,940943
151102,87322968,31573691,57159323,46433698
151111,211903147,134882918,285475568,709877078
151306,60521990,23247387,46367816,37075410
151324,59689407,31598052,61099544,38899908
151333,3716280,5103146,12325629,5891932
151342,14316227,9146022,29666610,11008369
151351,382784132,250490266,654939232,835123313
151360,8171667,5592512,22449484,8445595
151379,9870291,6907785,26039897,13946537
151388,4298030,3380318,13530735,5252700
151537,,,445254,
152248,80976818,37330936,49075855,13936955
152266,23527475,5661781,17426420,3582453
152637,34254462,21259712,27286181,33382297
153214,122288480,78397214,29310494,3953206
153296,9656420,7326627,2674920,
153311,89234091,30659432,12630940,
153445,42899712,21040587,9644039,2027426
153472,22733577,10920022,13631500,4637120
153524,30019907,15795004,17115154,4585352
153533,21861439,13396844,5766815,3002376
153603,338924281,254261934,274813892,611528301
153630,58860167,42894571,15138444,8826689
153658,2520061000,766667000,374773000,1094803000
153737,87782351,57420660,24433348,23078888
153922,15360213,11654273,4254925,
154059,42549556,9752251,7920419,16710335
154095,104100114,47649239,65107140,82402873
154110,65339155,32628148,9657526,716978
154129,25603025,7397349,4085623,2990766
154378,20963450,11384165,5972616,2606435
154396,20070276,7329736,2761903,1374459
154572,48395791,20381506,7352917,1100000
154642,14217430,2897936,3417501,4895452
154697,28821217,2656761,11628928,7139291
154800,19460917,5772314,17300213,7166697
154907,7301384,1320102,2521586,4624586
154925,7140452,1023077,3805169,6438090
154934,2114436,1542621,2806060,5848196
154952,18447717,4915562,3732412,4993892
154998,15991694,4649328,2657499,1041924
155025,20186552,12550932,31241520,63702678
155052,1888877,710109,1815395,1323945
155061,54862921,12369058,44845662,54226967
155098,2685074,939872,4430968,4046172
155104,15728387,6345050,1136492,5928865
155140,0,0,384206,
155186,3235992,2074210,4221350,2871780
155195,23075120,7344782,6141910,11582291
155201,5841551,2816668,1223217,4323130
155210,97767548,17136313,34727280,17517244
155292,25549337,13668750,10982508,856918
155317,399114212,183336741,262514993,1310654514
155399,284542324,99399127,202057597,364676000
155423,,,1054971,
155450,5388556,1455916,1448122,565046
155487,924908,350872,1389924,
155566,6996299,2043034,3727308,4241602
155593,3146057,641809,2027137,
155618,7777550,483050,2050125,1006723
155681,41407214,20716868,31684813,73910000
155715,12157078,1107218,1786572,3478236
155830,2113106,513494,827601,164702
155858,13032174,4796402,2195888,3899933
156082,48398654,11292522,29386807,153758792
156107,9356493,3698540,5346061,900000
156125,113422260,36177388,68838920,212178028
156231,,,3809901,
156338,,,4251186,
156392,,,19167676,
156620,74650690,38767722,78246475,57846276
156648,,,4068265,
156790,,,2614501,
156851,,,2471814,
156860,,,4501175,
156921,,,14097516,
157058,32521844,7303864,16595920,13501397
157085,664459334,327521598,265293017,1054448113
157289,176230000,179170000,195627000,757336265
157304,,,2919429,
157331,,,4628752,
157386,46452101,16498872,40516548,38725682
157401,84448484,20571526,64226109,60681015
157438,,,2695739,
157447,95653000,29936000,109562000,82722000
157483,,,6743603,
157553,,,2466599,
157711,,,3013665,
157739,,,1845598,
157854,246896646,59255175,436745,41618025
157951,100613182,43186737,123535178,16034366
158088,1995667,1065347,1397552,288536
158352,1508952,606626,808182,
158431,4899885,5873543,14282207,100001
158662,28184228,11707011,40964592,2124515
158884,3437072,797333,1759103,1334383
159009,21483178,11983230,20858668,10845884
159373,146773499,47636532,31817620,84989615
159382,7651867,4728012,7077110,13842108
159391,360688964,216461623,251885267,459630722
159407,7140470,3421433,4831516,1879695
159416,6699604,2709849,10770966,17969079
159638,51010656,11342208,0,70582
159647,53034274,20618366,51906737,72459317
159717,37713094,10060075,30293644,16370752
159939,27617833,13853472,57748801,20677499
159966,45064414,7505724,29345730,7929288
159993,37546131,12006435,37444738,23892060
160010,5035498,860934,292822,
160038,42291561,8704207,40027958,12393362
160481,2050476,1081869,3211287,226334
160533,1962587,379694,0,87806
160579,8704006,1267626,3508521,
160612,75945639,18298965,56485165,12975939
160621,36529423,18194340,26041864,8389339
160630,13749654,12968108,9187994,5274338
160649,10065891,9707870,2231152,600000
160658,73823496,23389101,73571573,123771757
160667,3895696,983707,1966893,
160913,7869049,1790806,2813036,
161077,8541375,2266141,1633565,565488
161138,5294543,2518215,1983400,669237
161192,11158065,1965187,2699894,2793330
161217,16089000,1882000,14099000,6397000
161226,13240000,2551000,14084000,11978000
161235,713000,1244000,5017000,3055000
161244,1384000,855000,2724000,1695000
161253,111151000,20708000,85730000,247938000
161280,120275000,28348000,0,7183000
161299,12451643,3899914,15956029,15447666
161341,6982000,948000,5166000,1145000
161484,2211485,2506569,409585,1991148
161545,15666978,5066172,6804535,846166
161554,37757000,14640000,62569000,31634000
161581,4530685,846320,1077684,482271
161688,12502698,3052104,6723770,10367506
161767,35800684,20290871,32536482,6126772
161864,44614567,6741679,6857301,1334988
161873,38156707,25196649,49679610,38750242
162007,60537636,47898307,20813506,6193061
162104,7535467,3522065,5656092,5089955
162122,33562875,12500721,24766372,3417863
162168,9906024,4913550,4844444,3113488
